  Global optimal solution found.
  Objective value:                              17.00000
  Extended solver steps:                            9859
  Total solver iterations:                       8496226


                       Variable           Value        Reduced Cost
                      A( 1, 31)        1.000000            0.000000
                      A( 1, 32)        1.000000            0.000000
                      A( 1, 33)        1.000000            0.000000
                       A( 2, 7)        1.000000            0.000000
                       A( 2, 8)        1.000000            0.000000
                       A( 2, 9)        1.000000            0.000000
                      A( 2, 10)        1.000000            0.000000
                      A( 2, 11)        1.000000            0.000000
                      A( 2, 12)        1.000000            0.000000
                      A( 2, 13)        1.000000            0.000000
                      A( 2, 14)        1.000000            0.000000
                      A( 2, 15)        1.000000            0.000000
                      A( 2, 16)        1.000000            0.000000
                      A( 2, 17)        1.000000            0.000000
                      A( 2, 18)        1.000000            0.000000
                      A( 2, 19)        1.000000            0.000000
                      A( 2, 20)        1.000000            0.000000
                      A( 2, 21)        1.000000            0.000000
                      A( 2, 22)        1.000000            0.000000
                      A( 2, 23)        1.000000            0.000000
                      A( 2, 24)        1.000000            0.000000
                      A( 2, 25)        1.000000            0.000000
                      A( 2, 26)        1.000000            0.000000
                      A( 2, 27)        1.000000            0.000000
                      A( 2, 28)        1.000000            0.000000
                      A( 2, 29)        1.000000            0.000000
                      A( 2, 30)        1.000000            0.000000
                      A( 2, 31)        1.000000            0.000000
                      A( 2, 32)        1.000000            0.000000
                      A( 2, 33)        1.000000            0.000000
                      A( 3, 15)        1.000000            0.000000
                      A( 3, 16)        1.000000            0.000000
                      A( 3, 17)        1.000000            0.000000
                      A( 3, 18)        1.000000            0.000000
                      A( 3, 19)        1.000000            0.000000
                      A( 3, 20)        1.000000            0.000000
                      A( 3, 21)        1.000000            0.000000
                      A( 3, 22)        1.000000            0.000000
                      A( 3, 23)        1.000000            0.000000
                      A( 3, 24)        1.000000            0.000000
                      A( 3, 25)        1.000000            0.000000
                      A( 3, 26)        1.000000            0.000000
                      A( 3, 27)        1.000000            0.000000
                      A( 3, 28)        1.000000            0.000000
                      A( 3, 29)        1.000000            0.000000
                      A( 3, 30)        1.000000            0.000000
                      A( 3, 31)        1.000000            0.000000
                      A( 3, 32)        1.000000            0.000000
                      A( 3, 33)        1.000000            0.000000
                       A( 4, 1)        1.000000            0.000000
                       A( 4, 2)        1.000000            0.000000
                       A( 4, 3)        1.000000            0.000000
                       A( 4, 4)        1.000000            0.000000
                       A( 4, 5)        1.000000            0.000000
                       A( 4, 6)        1.000000            0.000000
                       A( 4, 7)        1.000000            0.000000
                       A( 4, 8)        1.000000            0.000000
                       A( 4, 9)        1.000000            0.000000
                      A( 4, 10)        1.000000            0.000000
                      A( 4, 11)        1.000000            0.000000
                      A( 4, 12)        1.000000            0.000000
                      A( 4, 13)        1.000000            0.000000
                      A( 4, 14)        1.000000            0.000000
                      A( 4, 15)        1.000000            0.000000
                      A( 4, 16)        1.000000            0.000000
                      A( 4, 17)        1.000000            0.000000
                      A( 4, 18)        1.000000            0.000000
                      A( 4, 19)        1.000000            0.000000
                      A( 4, 20)        1.000000            0.000000
                      A( 4, 21)        1.000000            0.000000
                      A( 4, 22)        1.000000            0.000000
                      A( 4, 23)        1.000000            0.000000
                      A( 4, 24)        1.000000            0.000000
                      A( 4, 25)        1.000000            0.000000
                      A( 4, 26)        1.000000            0.000000
                      A( 4, 27)        1.000000            0.000000
                      A( 4, 28)        1.000000            0.000000
                      A( 4, 29)        1.000000            0.000000
                      A( 4, 30)        1.000000            0.000000
                      A( 4, 31)        1.000000            0.000000
                      A( 4, 32)        1.000000            0.000000
                      A( 4, 33)        1.000000            0.000000
                      A( 5, 10)        1.000000            0.000000
                      A( 5, 11)        1.000000            0.000000
                      A( 5, 12)        1.000000            0.000000
                      A( 5, 13)        1.000000            0.000000
                      A( 5, 14)        1.000000            0.000000
                      A( 5, 15)        1.000000            0.000000
                      A( 5, 16)        1.000000            0.000000
                      A( 5, 17)        1.000000            0.000000
                      A( 5, 18)        1.000000            0.000000
                      A( 5, 19)        1.000000            0.000000
                      A( 5, 20)        1.000000            0.000000
                      A( 5, 21)        1.000000            0.000000
                      A( 5, 22)        1.000000            0.000000
                      A( 5, 23)        1.000000            0.000000
                      A( 5, 24)        1.000000            0.000000
                      A( 5, 25)        1.000000            0.000000
                      A( 5, 26)        1.000000            0.000000
                      A( 5, 27)        1.000000            0.000000
                      A( 5, 28)        1.000000            0.000000
                      A( 5, 29)        1.000000            0.000000
                      A( 5, 30)        1.000000            0.000000
                      A( 5, 31)        1.000000            0.000000
                      A( 5, 32)        1.000000            0.000000
                      A( 5, 33)        1.000000            0.000000
                       L( 1, 1)        1.000000            0.000000
                       L( 1, 2)        1.000000            0.000000
                       L( 1, 3)        1.000000            0.000000
                       L( 1, 4)        1.000000            0.000000
                       L( 1, 5)        1.000000            0.000000
                       L( 1, 6)        1.000000            0.000000
                       L( 1, 7)        1.000000            0.000000
                       L( 1, 8)        1.000000            0.000000
                       L( 1, 9)        1.000000            0.000000
                      L( 1, 10)        1.000000            0.000000
                      L( 1, 11)        1.000000            0.000000
                      L( 1, 12)        1.000000            0.000000
                      L( 1, 13)        1.000000            0.000000
                      L( 1, 14)        1.000000            0.000000
                      L( 1, 15)        1.000000            0.000000
                      L( 1, 16)        1.000000            0.000000
                      L( 1, 17)        1.000000            0.000000
                      L( 1, 18)        1.000000            0.000000
                      L( 1, 19)        1.000000            0.000000
                      L( 1, 20)        1.000000            0.000000
                      L( 1, 21)        1.000000            0.000000
                      L( 1, 22)        1.000000            0.000000
                      L( 1, 23)        1.000000            0.000000
                      L( 1, 24)        1.000000            0.000000
                      L( 1, 25)        1.000000            0.000000
                       L( 2, 1)        1.000000            0.000000
                       L( 2, 2)        1.000000            0.000000
                       L( 2, 3)        1.000000            0.000000
                       L( 2, 4)        1.000000            0.000000
                       L( 2, 5)        1.000000            0.000000
                       L( 2, 6)        1.000000            0.000000
                       L( 2, 7)        1.000000            0.000000
                       L( 2, 8)        1.000000            0.000000
                       L( 2, 9)        1.000000            0.000000
                      L( 2, 10)        1.000000            0.000000
                      L( 2, 11)        1.000000            0.000000
                      L( 2, 12)        1.000000            0.000000
                      L( 2, 13)        1.000000            0.000000
                      L( 2, 14)        1.000000            0.000000
                      L( 2, 15)        1.000000            0.000000
                      L( 2, 16)        1.000000            0.000000
                      L( 2, 17)        1.000000            0.000000
                      L( 2, 18)        1.000000            0.000000
                      L( 2, 19)        1.000000            0.000000
                      L( 2, 20)        1.000000            0.000000
                      L( 2, 21)        1.000000            0.000000
                      L( 2, 22)        1.000000            0.000000
                      L( 2, 23)        1.000000            0.000000
                      L( 2, 24)        1.000000            0.000000
                      L( 2, 25)        1.000000            0.000000
                      L( 2, 26)        1.000000            0.000000
                      L( 2, 27)        1.000000            0.000000
                      L( 2, 28)        1.000000            0.000000
                      L( 2, 29)        1.000000            0.000000
                      L( 2, 30)        1.000000            0.000000
                      L( 2, 31)        1.000000            0.000000
                      L( 2, 32)        1.000000            0.000000
                       L( 3, 1)        1.000000            0.000000
                       L( 3, 2)        1.000000            0.000000
                       L( 3, 3)        1.000000            0.000000
                       L( 3, 4)        1.000000            0.000000
                       L( 3, 5)        1.000000            0.000000
                       L( 3, 6)        1.000000            0.000000
                       L( 3, 7)        1.000000            0.000000
                       L( 3, 8)        1.000000            0.000000
                       L( 3, 9)        1.000000            0.000000
                      L( 3, 10)        1.000000            0.000000
                      L( 3, 11)        1.000000            0.000000
                      L( 3, 12)        1.000000            0.000000
                      L( 3, 13)        1.000000            0.000000
                      L( 3, 14)        1.000000            0.000000
                      L( 3, 15)        1.000000            0.000000
                      L( 3, 16)        1.000000            0.000000
                      L( 3, 17)        1.000000            0.000000
                      L( 3, 18)        1.000000            0.000000
                      L( 3, 19)        1.000000            0.000000
                      L( 3, 20)        1.000000            0.000000
                      L( 3, 21)        1.000000            0.000000
                      L( 3, 22)        1.000000            0.000000
                      L( 3, 23)        1.000000            0.000000
                      L( 3, 24)        1.000000            0.000000
                      L( 3, 25)        1.000000            0.000000
                      L( 3, 26)        1.000000            0.000000
                      L( 3, 27)        1.000000            0.000000
                      L( 3, 28)        1.000000            0.000000
                      L( 3, 29)        1.000000            0.000000
                      L( 3, 30)        1.000000            0.000000
                      L( 3, 31)        1.000000            0.000000
                      L( 3, 32)        1.000000            0.000000
                       L( 4, 1)        1.000000            0.000000
                       L( 4, 2)        1.000000            0.000000
                       L( 4, 3)        1.000000            0.000000
                       L( 4, 4)        1.000000            0.000000
                       L( 4, 5)        1.000000            0.000000
                       L( 4, 6)        1.000000            0.000000
                       L( 4, 7)        1.000000            0.000000
                       L( 4, 8)        1.000000            0.000000
                       L( 4, 9)        1.000000            0.000000
                      L( 4, 10)        1.000000            0.000000
                      L( 4, 11)        1.000000            0.000000
                      L( 4, 12)        1.000000            0.000000
                      L( 4, 13)        1.000000            0.000000
                      L( 4, 14)        1.000000            0.000000
                      L( 4, 15)        1.000000            0.000000
                      L( 4, 16)        1.000000            0.000000
                       L( 5, 1)        1.000000            0.000000
                       L( 5, 2)        1.000000            0.000000
                       L( 5, 3)        1.000000            0.000000
                       L( 5, 4)        1.000000            0.000000
                       L( 5, 5)        1.000000            0.000000
                       L( 5, 6)        1.000000            0.000000
                       L( 5, 7)        1.000000            0.000000
                       L( 5, 8)        1.000000            0.000000
                       L( 5, 9)        1.000000            0.000000
                      L( 5, 10)        1.000000            0.000000
                      L( 5, 11)        1.000000            0.000000
                      L( 5, 12)        1.000000            0.000000
                      L( 5, 13)        1.000000            0.000000
                      L( 5, 14)        1.000000            0.000000
                      L( 5, 15)        1.000000            0.000000
                      L( 5, 16)        1.000000            0.000000
                      L( 5, 17)        1.000000            0.000000
                      L( 5, 18)        1.000000            0.000000
                      L( 5, 19)        1.000000            0.000000
                      L( 5, 20)        1.000000            0.000000
                      L( 5, 21)        1.000000            0.000000
                      L( 5, 22)        1.000000            0.000000
                      L( 5, 23)        1.000000            0.000000
                      L( 5, 24)        1.000000            0.000000
                      L( 5, 25)        1.000000            0.000000
                      L( 5, 26)        1.000000            0.000000
                      L( 5, 27)        1.000000            0.000000
                      L( 5, 28)        1.000000            0.000000
                      L( 5, 29)        1.000000            0.000000
                      L( 5, 30)        1.000000            0.000000
                      L( 5, 31)        1.000000            0.000000
                      L( 5, 32)        1.000000            0.000000
                      L( 5, 33)        1.000000            0.000000
                      W( 1, 12)        1.000000            1.000000
                      W( 1, 13)        1.000000            1.000000
                      W( 1, 14)        1.000000            1.000000
                      W( 2, 21)        1.000000            1.000000
                      W( 2, 22)        1.000000            1.000000
                      W( 2, 23)        1.000000            1.000000
                      W( 2, 24)        1.000000            1.000000
                      W( 2, 25)        1.000000            1.000000
                       W( 4, 7)        1.000000            1.000000
                       W( 4, 8)        1.000000            1.000000
                       W( 4, 9)        1.000000            1.000000
                      W( 5, 15)        1.000000            1.000000
                      W( 5, 16)        1.000000            1.000000
                      W( 5, 17)        1.000000            1.000000
                      W( 5, 18)        1.000000            1.000000
                      W( 5, 19)        1.000000            1.000000
                      W( 5, 20)        1.000000            1.000000
